Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Total Pay (£),Profession,Notes,Valid?
GO018,Eliminated,SCS1,"Deputy Director, Children and Learners",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO019,Eliminated,SCS1,"Deputy Director, Strategy",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO020,Eliminated,SCS1,"Deputy Director, Safer, Stronger Communities",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO021,Eliminated,SCS1,"Deputy Director, Economy, Jobs and Skills",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO022,Eliminated,SCS1,"Deputy Director, Infrastructure",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO023,Eliminated,SCS1,"Deputy Director, Children and Learners",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO024,Eliminated,SCS1,"Deputy Director, Local Government and Localities",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO025,Eliminated,SCS1,"Deputy Director, Community Safety",Post eliminated,Department for Communities and Local Government,Government Office Network,GO London,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO026,Eliminated,SCS1,"Deputy Director, Children and Learners",Post eliminated,Department for Communities and Local Government,Government Office Network,GO London,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO027,Eliminated,SCS1,"Deputy Director, Thames Gateway",Post eliminated,Department for Communities and Local Government,Government Office Network,GO London,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO028,Eliminated,SCS1,"Deputy Director, Planning and Housing",Post eliminated,Department for Communities and Local Government,Government Office Network,GO London,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO029,Eliminated,SCS1,"Deputy Director, Corporate and Business Strategy",Post eliminated,Department for Communities and Local Government,Government Office Network,GO London,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO030,Eliminated,SCS1,"Deputy Director, Resilience and Europe",Post eliminated,Department for Communities and Local Government,Government Office Network,GO London,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO031,Eliminated,SCS1,"Deputy Director, Local Government Practice",Post eliminated,Department for Communities and Local Government,Government Office Network,GO London,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO032,Eliminated,SCS1,"Deputy Director, Locality Divison and Neighbourhood Renewal",Post eliminated,Department for Communities and Local Government,Government Office Network,GO London,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO033,Eliminated,SCS1,"Deputy Director, Network Business Planning and Governance",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO034,Eliminated,SCS1,"Deputy Director, Strategy and Performance",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO035,Eliminated,SCS1,"Deputy Director, Network Performance and Delivery",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO036,Eliminated,SCS1,"Deputy Director, Europe",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO037,Eliminated,SCS1,"Deputy Director, Local Government, Partnerships and Place",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO038,Eliminated,SCS1,"Deputy Director, Children and Learners",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO039,Eliminated,SCS1,"Deputy Director, Environment",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO040,Eliminated,SCS1,"Deputy Director, Corporate Services",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO041,Eliminated,SCS1,"Deputy Director, Safer and Stronger Communities and Tees Valley",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO042,Eliminated,SCS1,"Deputy Director, Economy and Strategy",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO043,Eliminated,SCS1,"Deputy Director, Children and Learners",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO044,Eliminated,SCS1,"Deputy Director, Worklessness and Social Exclusion",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO045,Eliminated,SCS1,"Deputy Director, Competiveness and Infrastructure",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO046,Eliminated,SCS1,"Deputy Director, Housing, Planning and Transport",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO047,Eliminated,SCS1,"Deputy Director, Strategy & Business Improvement",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO048,Eliminated,SCS1,"Deputy Director, Corporate Services & Resilience",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO049,Eliminated,SCS1,"Deputy Director, Sustainable Communities and Hampshire & The Isle of Wight",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO050,Eliminated,SCS1,"Deputy Director, Safer and Stronger Communities and Kent & Medway",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO051,Eliminated,SCS1,"Deputy Director, Transport & Environment and Thames Valley",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO052,Eliminated,SCS1,"Deputy Director, Safer and Stronger Communities",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO053,Eliminated,SCS1,"Deputy Director, Regeneration and Social Exclusion",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO054,Eliminated,SCS1,"Deputy Director, Corporate Service and Regional Resillience",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO055,Eliminated,SCS1,"Deputy Director, Children and Learners",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO056,Eliminated,SCS1,"Deputy Director, Environment, Transport and Climate",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO057,Eliminated,SCS1,"Deputy Director, Local Government Practice",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO058,Eliminated,SCS1,"Deputy Director, Housing, Planning and Transport",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO059,Eliminated,SCS1,"Deputy Director, Places, Communities and Local Government",Post eliminated,Department for Communities and Local Government,Government Office Network,GO West Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO060,Eliminated,SCS1,"Deputy Director, Community Safety",Post eliminated,Department for Communities and Local Government,Government Office Network,GO West Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO061,Eliminated,SCS1,"Deputy Director, Sustainable Futures",Post eliminated,Department for Communities and Local Government,Government Office Network,GO West Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO062,Eliminated,SCS1,"Deputy Director, Economic and Organisational Delivery",Post eliminated,Department for Communities and Local Government,Government Office Network,GO West Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO063,Eliminated,SCS1,"Deputy Director, Children and Learners",Post eliminated,Department for Communities and Local Government,Government Office Network,GO West Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO064,Eliminated,SCS1,"Deputy Director, Regional Resilience",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO065,Eliminated,SCS1,"Deputy Director, Environment and Corporate Affairs",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO066,Eliminated,SCS1,"Deputy Director, Economy and Strategy",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO067,Eliminated,SCS1,"Deputy Director, Children and Learners",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO068,Eliminated,SCS1,"Deputy Director, People and Communities",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO069,Eliminated,SCS1,"Deputy Director, Children and Learners and Surrey & Sussex",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO070,Eliminated,SCS1,"Deputy Director, Crime and Community Safety",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
0,N/D,SCS2,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,95000,99999,,,,1
0,N/D,SCS2,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,105000,109999,,,,1
0,N/D,SCS2,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,125000,129999,,,,1
0,N/D,SCS1A,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,0.7,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,0.6,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
0,N/D,SCS1,Not in post,N/A,Department for Communities and Local Government,Government Office Network,N/A,N/A,N/A,XX,0,1,N/D,,,,,1
